"string","num","next_word","nchar"
"the end of the",55,"season",14
"ass ass ass ass",54,"ass",15
"in the back of",54,"the",14
"it was going to",54,"be",15
"president of the united",54,"states",23
"spent a lot of",54,"time",14
"had nothing to do",53,"with",17
"i hope you have",53,"a",15
"you have a great",53,"day",16
"all the way to",52,"the",14
"an hour and a",52,"half",13
"i dont want to",52,"be",14
"if you have any",52,"questions",15
"in the wake of",52,"the",14
"incorporated in item c",52,"above",22
"the first round of",52,"the",18
"hope to see you",51,"there",15
"i think it would",51,"be",16
"in item c above",51,"pp",15
"that awkward moment when",51,"you",24
"when it comes to",51,"the",16
"and at the same",50,"time",15
"at the end of",50,"this",13
"at the same time",50,"i",16
"cant wait to see",50,"what",16
"i have to say",50,"that",13
"dont know what to",49,"do",17
"im going to have",49,"to",16
"the right thing to",49,"do",18
"the side of the",49,"road",15
"with the rest of",49,"the",16
"be a part of",48,"the",12
"have nothing to do",48,"with",18
"i want to go",48,"to",12
"in the form of",48,"a",14
"was going to be",48,"a",15
"at the end of",47,"a",13
"going to be a",47,"good",13
"i just finished a",47,"mi",17
"it was one of",47,"the",13
"just finished a mi",47,"run",18
"trying to figure out",47,"how",20
"a couple of weeks",46,"ago",17
"finished a mi run",46,"with",17
"hope you had a",46,"great",14
"i dont know what",46,"to",16
"looking forward to seeing",46,"you",25
"all i can say",45,"is",13
"every once in a",45,"while",15
"for the first time",45,"this",18
"is it just me",45,"or",13
"it is one of",45,"the",12
"look forward to seeing",45,"you",22
"take a look at",45,"the",14
"to be part of",45,"the",13
"im not the only",44,"one",15
"on the way to",44,"the",13
"the good news is",44,"that",16
"at the same time",43,"the",16
"but at the end",43,"of",14
"hope you are having",43,"a",19
"i dont know if",43,"i",14
"i had a lot",43,"of",11
"if you want to",43,"be",14
"it is going to",43,"be",14
"me know what you",43,"think",16
"over the course of",43,"the",18
"as a member of",42,"the",14
"be sure to check",42,"out",16
"cake cake cake cake",42,"cake",19
"keep up the great",42,"work",17
"on my way to",42,"the",12
"to everyone who came",42,"out",20
"you so much for",42,"the",15
"could not be reached",41,"for",20
"i am not going",41,"to",14
"if you are going",41,"to",16
"if you are looking",41,"for",18
"in the first round",41,"of",18
"in the top of",41,"the",13
"million or cents per",41,"share",20
"now is the time",41,"to",15
"please please please please",41,"please",27
"rock and roll hall",41,"of",18
"the second half of",41,"the",18
"as soon as i",40,"get",12
"each and every one",40,"of",18
"had a lot of",40,"fun",12
"in the united states",40,"and",20
"it was the first",40,"time",16
"not be reached for",40,"comment",18
"thank you for the",40,"ff",17
"thanks to everyone who",40,"came",22
"the first half of",40,"the",17
"to the end of",40,"the",13
"a year and a",39,"half",12
"hope everyone is having",39,"a",23
"i wish i had",39,"a",12
"is going to be",39,"the",14
"know what to do",39,"with",15
"let us know what",39,"you",16
"on the back of",39,"the",14
"the end of the",39,"world",14
"want to be able",39,"to",15
"a long way to",38,"go",13
"going to be a",38,"long",13
"in the next few",38,"weeks",15
"nothing to do with",38,"the",18
"that i was going",38,"to",16
"the first time in",38,"years",17
"the new york stock",38,"exchange",18
"the rest of the",38,"week",15
"there were a lot",38,"of",16
"this is one of",38,"those",14
"to go back to",38,"the",13
"we had a great",38,"time",14
"“as is” and is",37,"subject",14
"a little bit of",37,"a",15
"a means for sites",37,"to",17
"a participant in the",37,"amazon",20
"advertising and linking to",37,"amazoncom",26
"advertising fees by advertising",37,"and",31
"amazon eu associates programmes",37,"designed",31
"amazon eu this content",37,"is",22
"amazon services llc and",37,"amazon",23
"amazon services llc andor",37,"amazon",25
"amazonca amazoncouk amazonde amazonfr",37,"amazonit",37
"amazoncom amazonca amazoncouk amazonde",37,"amazonfr",38
"amazoncouk amazonde amazonfr amazonit",37,"and",37
"amazonde amazonfr amazonit and",37,"amazones",30
"amazones certain content that",37,"appears",29
"amazonfr amazonit and amazones",37,"certain",30
"amazonit and amazones certain",37,"content",29
"and amazon eu associates",37,"programmes",24
"and amazones certain content",37,"that",28
"and is subject to",37,"change",17
"and linking to amazoncom",37,"amazonca",24
"andor amazon eu this",37,"content",20
"appears on this website",37,"comes",23
"associates programmes designed to",37,"provide",33
"by advertising and linking",37,"to",26
"certain content that appears",37,"on",28
"change or removal at",37,"any",20
"comes from amazon services",37,"llc",26
"content is provided “as",37,"is”",23
"content that appears on",37,"this",23
"designed to provide a",37,"means",21
"earn advertising fees by",37,"advertising",24
"eu associates programmes designed",37,"to",33
"eu this content is",37,"provided",18
"fees by advertising and",37,"linking",23
"for sites to earn",37,"advertising",17
"from amazon services llc",37,"andor",24
"g protein g carbohydrate",37,"g",24
"i fell in love",37,"with",14
"i want to do",37,"is",12
"i was going to",37,"be",14
"in an interview with",37,"the",20
"in the amazon services",37,"llc",22
"in the center of",37,"the",16
"in the history of",37,"the",17
"is a participant in",37,"the",19
"is provided “as is”",37,"and",19
"is subject to change",37,"or",20
"is” and is subject",37,"to",18
"linking to amazoncom amazonca",37,"amazoncouk",29
"llc and amazon eu",37,"associates",17
"llc andor amazon eu",37,"this",19
"means for sites to",37,"earn",18
"on this website comes",37,"from",21
"or removal at any",37,"time",17
"participant in the amazon",37,"services",25
"programmes designed to provide",37,"a",30
"provide a means for",37,"sites",19
"provided “as is” and",37,"is",20
"services llc and amazon",37,"eu",23
"services llc andor amazon",37,"eu",25
"sites to earn advertising",37,"fees",25
"subject to change or",37,"removal",20
"thanks for the follow",37,"and",21
"that appears on this",37,"website",20
"the amazon services llc",37,"and",23
"the rest of my",37,"life",14
"there was a lot",37,"of",15
"this content is provided",37,"“as",24
"this website comes from",37,"amazon",23
"to amazoncom amazonca amazoncouk",37,"amazonde",32
"to change or removal",37,"at",20
"to earn advertising fees",37,"by",24
"to provide a means",37,"for",18
"website comes from amazon",37,"services",25
"for more than a",36,"decade",15
"i was able to",36,"get",13
"if you dont want",36,"to",16
"in the back of",36,"my",14
"is a great way",36,"to",14
"keep an eye out",36,"for",15
"let me know when",36,"you",16
"season with salt and",36,"pepper",20
"the right side of",36,"the",17
"we have a lot",36,"of",13
"what are you going",36,"to",18
"wish i could be",36,"there",15
"all at the same",35,"time",15
"for the first time",35,"i",18
"i cant wait to",35,"get",14
"i had no idea",35,"what",13
"thanks for the rt",35,"i",17
"the rest of the",35,"year",15
"the rock and roll",35,"hall",17
"to the rest of",35,"the",14
"trying to figure out",35,"what",20
"want to go back",35,"to",15
"you will be able",35,"to",16
"are you going to",34,"be",16
"by the end of",34,"this",13
"cant wait to see",34,"it",16
"for a long time",34,"and",15
"for the rest of",34,"my",15
"i have to say",34,"i",13
"i think i need",34,"to",14
"i want to be",34,"a",12
"it was a lot",34,"of",12
"new york and new",34,"jersey",16
"on the part of",34,"the",14
"the first day of",34,"the",16
"there are a number",34,"of",18
"want to go to",34,"the",13
"was one of the",34,"first",14
"a chance to win",33,"a",15
"are going to have",33,"to",17
"as much as i",33,"do",12
"come to think of",33,"it",16
"for the first time",33,"and",18
"girl with the dragon",33,"tattoo",20
"i can tell you",33,"that",14
"i had a great",33,"time",13
"i have to admit",33,"i",15
"i woke up this",33,"morning",14
"i wont be able",33,"to",14
"in the midst of",33,"a",15
"is one of the",33,"few",13
"it seems to me",33,"that",14
"looking forward to your",33,"tweets",23
"on the wrong side",33,"of",17
"over the past few",33,"years",17
"said in a statement",33,"that",19
"the first time in",33,"a",17
"the rest of your",33,"life",16
"there is no such",33,"thing",16
"will not be able",33,"to",16
"you dont have to",33,"be",16
"all i want to",32,"do",13
"and roll hall of",32,"fame",16
"as a matter of",32,"fact",14
"as far as i",32,"know",11
"but when it comes",32,"to",17
"has been one of",32,"the",15
"hunter matt hunter matt",32,"hunter",23
"i dont know how",32,"to",15
"i the only one",32,"who",14
"in and out of",32,"the",13
"in such a way",32,"that",13
"is going to have",32,"to",16
"matt hunter matt hunter",32,"matt",23
"may or may not",32,"be",14
"may or may not",32,"have",14
"one of my favorite",32,"things",18
"only a matter of",32,"time",16
"said in a news",32,"release",14
"thank you for the",32,"mention",17
"the end of the",32,"week",14
"we are looking forward",32,"to",22
"a lot of people",31,"who",15
"at the same time",31,"it",16
"be a part of",31,"it",12
"declined to comment on",31,"the",22
"dont get me wrong",31,"i",17
"dont know about you",31,"but",19
"had a great time",31,"at",16
"hope all is well",31,"with",16
"hope to see you",31,"soon",15
"i cant wait for",31,"the",15
"i knew i had",31,"to",12
"in the last few",31,"years",15
"is no such thing",31,"as",16
"it is what it",31,"is",13
"it would mean the",31,"world",17
"on the first day",31,"of",16
"on the new york",31,"stock",15
"on the right side",31,"of",17
"said in a written",31,"statement",17
"the securities and exchange",31,"commission",27
"was a member of",31,"the",15
"was one of the",31,"most",14
"was the first time",31,"i",18
"what did you think",31,"of",18
"you have no idea",31,"how",16
"you know what i",31,"mean",15
"you should be able",31,"to",18
"and i cant wait",30,"to",15
"as one of the",30,"most",13
"before the end of",30,"the",17
"but for the most",30,"part",16
"centers for disease control",30,"and",27
"follow me i love",30,"you",16
"for the rest of",30,"us",15
"he was one of",30,"the",13
"i do not want",30,"to",13
"i dont know about",30,"you",17
"i have been trying",30,"to",18
"i have to go",30,"to",12
"if you are interested",30,"in",21
"in the first half",30,"of",17
"it turned out to",30,"be",16
"it would be fun",30,"to",15
"of the rest of",30,"the",14
"on the other hand",30,"is",17
"one of the things",30,"that",17
"please follow me i",30,"love",18
"spend a lot of",30,"time",14
"thanks for the kind",30,"words",19
"to keep up with",30,"the",15
"university of chicago chicago",30,"illinois",29
"was a bit of",30,"a",12
"was one of the",30,"best",14
"we cant wait to",30,"see",15
"will be interesting to",30,"see",22
"a big thank you",29,"to",15
"a man and a",29,"woman",11
"as much as i",29,"love",12
"at the back of",29,"the",14
"at the height of",29,"the",16
"can i get a",29,"follow",11
"for disease control and",29,"prevention",23
"home in the block",29,"of",17
"hope you all had",29,"a",16
"i am so excited",29,"to",15
"i have no idea",29,"how",14
"i thought it was",29,"a",16
"if you dont have",29,"a",16
"in the parking lot",29,"of",18
"its been a while",29,"since",16
"off to a good",29,"start",13
"one of the most",29,"popular",15
"one of the things",29,"i",17
"see what i can",29,"do",14
"so there you have",29,"it",17
"something to do with",29,"the",20
"thank you for your",29,"support",18
"thanks for the follow",29,"back",21
"the united states of",29,"america",20
"to be able to",29,"do",13
"to get rid of",29,"the",13
"to make it to",29,"the",13
"to take advantage of",29,"the",20
"up to years in",29,"prison",14
"us know what you",29,"think",16
"wake up in the",29,"morning",14
"when was the last",29,"time",17
"will never be the",29,"same",17
"would love to have",29,"you",18
"a lot of people",28,"are",15
"across the street from",28,"the",22
"as far as i",28,"can",11
"be a part of",28,"this",12
"calories g fat g",28,"saturated",16
"calories g protein g",28,"carbohydrate",20
"due to the fact",28,"that",15
"hope everyone had a",28,"great",19
"i dont even know",28,"what",16
"i dont know why",28,"i",15
"i have to admit",28,"that",15
"i wish i could",28,"be",14
"if you want to",28,"get",14
"if you want to",28,"see",14
"in the case of",28,"the",14
"is a bit of",28,"a",11
"is a member of",28,"the",14
"may the fourth be",28,"with",17
"mean the world to",28,"me",17
"most of the time",28,"i",16
"off to a great",28,"start",14
"salt and pepper to",28,"taste",18
"the rest of the",28,"season",15
"there is no way",28,"to",15
"this was the first",28,"time",18
"to do the right",28,"thing",15
"to make the most",28,"of",16
"towards the end of",28,"the",18
"we hope to see",28,"you",14
"what are you doing",28,"to",18
"what do you think",28,"about",17
"what it means to",28,"be",16
"a lot of work",27,"to",13
"a yearold resident of",27,"the",21
"and i have to",27,"say",13
"are you going to",27,"do",16
"at a time when",27,"the",14
"dont have to worry",27,"about",18
"first thing in the",27,"morning",18
"for the first time",27,"the",18
"for those of us",27,"who",15
"have something to do",27,"with",20
"i need to go",27,"to",12
"i was the only",27,"one",14
"i would like to",27,"see",15
"in item b above",27,"pp",15
"in the first quarter",27,"of",20
"one day at a",27,"time",12
"preheat the oven to",27,"degrees",19
"resident of the block",27,"of",21
"right in the middle",27,"of",19
"the first three months",27,"of",22
"the girl with the",27,"dragon",17
"the last couple of",27,"weeks",18
"the north dakota township",27,"map",25
"the other end of",27,"the",16
"the rest of the",27,"way",15
"those of you who",27,"have",16
"to be a lot",27,"of",11
"to get back to",27,"the",14
"to the bottom of",27,"the",16
"until the end of",27,"the",16
"was a lot of",27,"fun",12
"we are going to",27,"be",15
"we look forward to",27,"seeing",18
"a few years ago",26,"i",15
"a mi run with",26,"a",13
"a time of with",26,"nike",14
"and most oral care",26,"products",18
"as soon as i",26,"can",12
"be sure to stop",26,"by",15
"chicago illinois incorporated in",26,"item",32
"had something to do",26,"with",19
"have anything to do",26,"with",19
"here are some of",26,"the",16
"hope to see you",26,"at",15
"i am going to",26,"be",13
"i dont want to",26,"go",14
"i was looking forward",26,"to",21
"in the heart of",26,"the",15
"in the last couple",26,"of",18
"in the st louis",26,"area",15
"is the only way",26,"to",15
"it was great to",26,"see",15
"its been a long",26,"time",15
"looking forward to working",26,"with",26
"not the only one",26,"who",16
"on my way to",26,"work",12
"protein g carbohydrate g",26,"fat",24
"spoke on condition of",26,"anonymity",21
"thanks for spreading the",26,"word",24
"the beginning of the",26,"year",20
"the first time since",26,"the",20
"the rest of the",26,"country",15
"the start of the",26,"season",16
"time of with nike",26,"gps",17
"to all my new",26,"followers",13
"today is going to",26,"be",17
"we will be able",26,"to",15
"what i want to",26,"do",14
"and a member of",25,"the",15
"carbohydrate g fat g",25,"saturated",20
"for the first time",25,"ever",18
"g carbohydrate g fat",25,"g",20
"happy mothers day to",25,"my",20
"have to go back",25,"to",15
"hope you all have",25,"a",17
"how hard it is",25,"to",14
"i had so much",25,"fun",13
"i have no idea",25,"why",14
"i might be able",25,"to",15
"if you want to",25,"know",14
"illinois incorporated in item",25,"c",29
"it would be nice",25,"to",16
"know if you have",25,"any",16
"more than half of",25,"the",17
"of new york and",25,"new",15
"on the edge of",25,"the",14
"step in the right",25,"direction",17
"thanks for the follow",25,"we",21
"the american civil liberties",25,"union",28
"the back of my",25,"mind",14
"to be part of",25,"a",13
"up in the middle",25,"of",16
"way to start the",25,"day",16
"what to do with",25,"the",15
"yearold resident of the",25,"block",23
"you are looking for",25,"a",19
"a few weeks ago",24,"i",15
"a great time at",24,"the",15
"all is well with",24,"you",16
"and at the end",24,"of",14
"and every one of",24,"you",16
"and i look forward",24,"to",18
"and i was able",24,"to",14
"as long as i",24,"can",12
"at the heart of",24,"the",15
"at the same time",24,"as",16
"authority of new york",24,"and",21
"be the death of",24,"me",15
"cholesterol mg sodium g",24,"fiber",23
"come to the conclusion",24,"that",22
"everyone who came out",24,"to",21
"figure out a way",24,"to",16
"for a couple of",24,"years",15
"for taking the time",24,"to",19
"for the follow looking",24,"forward",22
"for the rt have",24,"a",15
"going to have to",24,"be",16
"has something to do",24,"with",19
"i feel like i",24,"have",13
"i know a lot",24,"of",12
"i know what you",24,"mean",15
"i want to be",24,"able",12
"i was lucky enough",24,"to",18
"i wish i could",24,"say",14
"i would like to",24,"thank",15
"if you look at",24,"the",14
"in a couple of",24,"weeks",14
"in the rest of",24,"the",14
"is not going to",24,"be",15
"it was one of",24,"those",13
"it would be a",24,"good",13
"it’s going to be",24,"a",16
"looking forward to the",24,"next",22
"me know if you",24,"have",14
"me know if you",24,"need",14
"mg cholesterol mg sodium",24,"g",24
"no such thing as",24,"a",16
"one way or the",24,"other",14
"over and over and",24,"over",17
"over the course of",24,"a",18
"over the last few",24,"years",17
"port authority of new",24,"york",21
"professor at the university",24,"of",27
"rain rain rain rain",24,"rain",19
"run with a time",24,"of",15
"so much for the",24,"follow",15
"thank you all for",24,"your",17
"thanks for the ff",24,"love",17
"the end of the",24,"first",14
"the end of the",24,"game",14
"the fourth be with",24,"you",18
"to keep an eye",24,"on",14
"turned out to be",24,"the",16
"were going to have",24,"to",18
"what are you up",24,"to",15
"what it would be",24,"like",16
"work work work work",24,"work",19
"would mean the world",24,"to",20
"a comment on this",23,"post",17
"a lot to do",23,"with",11
"all you need to",23,"do",15
"april in the block",23,"of",18
"at least some of",23,"the",16
"at the end of",23,"last",13
"at the top of",23,"my",13
"can you please follow",23,"me",21
"cant wait to see",23,"my",16
"do you think you",23,"are",16
"dont want to go",23,"to",15
"fat g saturated mg",23,"cholesterol",18
"g fat g saturated",23,"mg",17
"hope you had a",23,"good",14
"hundreds of millions of",23,"dollars",23
"i dont know what",23,"i",16
"i feel like i",23,"should",13
"i want to go",23,"back",12
"i will let you",23,"know",14
"i would love to",23,"hear",15
"in the context of",23,"the",17
"in the first half",23,"and",17
"in the late s",23,"and",13
"in the midst of",23,"the",15
"in this day and",23,"age",15
"is just around the",23,"corner",18
"is right around the",23,"corner",19
"it will be interesting",23,"to",22
"it would have to",23,"be",16
"let us know if",23,"we",14
"love you i love",23,"you",15
"may not be able",23,"to",15
"more than percent of",23,"the",20
"on condition of anonymity",23,"because",25
"on the other hand",23,"the",17
"remember the last time",23,"i",22
"said in a statement",23,"the",19
"saturated mg cholesterol mg",23,"sodium",27
"serving calories g protein",23,"g",26
"so i am going",23,"to",13
"swag swag swag swag",23,"swag",19
"thank you for following",23,"me",23
"thanks for the follow",23,"looking",21
"thanks to all who",23,"came",17
"the benefit of the",23,"doubt",18
"the food and drug",23,"administration",17
"the port authority of",23,"new",21
"the president of the",23,"united",20
"to make up for",23,"the",14
"to the back of",23,"the",14
"we are going to",23,"have",15
"what do you want",23,"to",16
"while at the same",23,"time",17
"will be one of",23,"the",14
"with a time of",23,"with",14
"would love to see",23,"you",17
"you know what that",23,"means",18
"a matter of time",22,"before",16
"and i dont want",22,"to",15
"and last but not",22,"least",16
"as much as i",22,"can",12
"at the base of",22,"the",14
"at the center of",22,"the",16
"at the edge of",22,"the",14
"by the time we",22,"got",14
"damn damn damn damn",22,"damn",19
"didnt get a chance",22,"to",18
"every step of the",22,"way",17
"for a couple of",22,"hours",15
"g saturated mg cholesterol",22,"mg",26
"hope everyone has a",22,"great",19
"hope to see you",22,"in",15
"how i met your",22,"mother",14
"hundreds of thousands of",22,"dollars",24
"i am in love",22,"with",12
"i am so proud",22,"of",13
"i cant wait to",22,"hear",14
"i dont think i",22,"can",14
"i havent been on",22,"twitter",16
"i really dont want",22,"to",18
"i will be able",22,"to",14
"in us district court",22,"in",20
"incorporated in item b",22,"above",22
"is open to the",22,"public",14
"it was so much",22,"fun",14
"its just a matter",22,"of",17
"just a few of",22,"the",13
"one of my all",22,"time",13
"one of the best",22,"things",15
"per serving calories g",22,"protein",22
"president and ceo of",22,"the",20
"so i thought i",22,"would",14
"thanks for the follow",22,"love",21
"the best team in",22,"the",16
"the home was sold",22,"by",17
"the last couple of",22,"years",18
"we want to make",22,"sure",15
"what are your plans",22,"for",19
"would you like to",22,"see",17
"you have a great",22,"weekend",16
"you know who you",22,"are",16
"you need to know",22,"about",16
"all i can do",21,"is",12
"all i know is",21,"that",13
"and a little bit",21,"of",16
"and bring to a",21,"boil",14
"and i are going",21,"to",15
"and let me know",21,"what",15
"and let me tell",21,"you",15
"and we look forward",21,"to",19
"at least one of",21,"the",15
"at the end of",21,"each",13
"at the university of",21,"california",20
"be able to make",21,"it",15
"be one of the",21,"most",13
"but i dont want",21,"to",15
"cant wait for you",21,"to",17
"dont know what it",21,"is",17
"for a couple of",21,"weeks",15
"for as long as",21,"i",14
"for the remainder of",21,"the",20
"for your chance to",21,"win",18
"from all over the",21,"world",17
"going on in my",21,"life",14
"hey i just met",21,"you",14
"hope you have a",21,"good",15
"i am going to",21,"try",13
"i cant wait to",21,"go",14
"i dont know what",21,"it",16
"i dont think i",21,"could",14
"i feel like i",21,"am",13
"i had a hard",21,"time",12
"i have a feeling",21,"that",16
"i havent been able",21,"to",18
"i hope you had",21,"a",14
"i want it to",21,"be",12
"i want you to",21,"know",13
"i will always love",21,"you",18
"i wish i was",21,"a",12
"i would love to",21,"have",15
"ill see what i",21,"can",14
"in the next couple",21,"of",18
"in the past two",21,"years",15
"in the same way",21,"that",15
"is a great place",21,"to",16
"is in the process",21,"of",17
"leave a comment on",21,"this",18
"let me know if",21,"i",14
"love to hear from",21,"you",17
"me i love you",21,"so",13
"more than a year",21,"ago",16
"need to get out",21,"of",15
"on the other hand",21,"i",17
"or at the very",21,"least",14
"over the past two",21,"years",17
"so much for stopping",21,"by",20
"somebody that i used",21,"to",20
"thank you to all",21,"of",16
"the centers for disease",21,"control",23
"the end of the",21,"school",14
"the follow looking forward",21,"to",26
"the last couple of",21,"days",18
"the last time i",21,"saw",15
"the rest of his",21,"life",15
"there has to be",21,"a",15
"to be one of",21,"those",12
"to get out of",21,"bed",13
"to see if i",21,"could",11
"to take a look",21,"at",14
"today is the last",21,"day",17
"visit wwwradiotagrcomwfuv to tag",21,"this",32
"wait to see what",21,"you",16
"wanted to let you",21,"know",17
"what i came up",21,"with",14
"with two outs in",21,"the",16
"wwwradiotagrcomwfuv to tag this",21,"song",31
"you are having a",21,"great",16
"a lot of things",20,"that",15
"a mi run with",20,"nike",13
"a thing of the",20,"past",14
"and all of a",20,"sudden",12
"are you going to",20,"the",16
"at the front of",20,"the",15
"defensive player of the",20,"year",23
"did not return a",20,"call",16
"especially when it comes",20,"to",24
"everything happens for a",20,"reason",24
"fat mg cholesterol g",20,"protein",20
"follow me so i",20,"can",14
"for a very long",20,"time",15
"for following me on",20,"twitter",19
"for more than a",20,"year",15
"for the next few",20,"days",16
"get real rewards just",20,"for",21
"happy new year to",20,"you",17
"hope you have a",20,"wonderful",15
"how do you feel",20,"about",15
"how long have you",20,"been",17
"i dont know how",20,"i",15
"i dont think ive",20,"ever",16
"i feel the same",20,"way",15
"i love the smell",20,"of",16
"i love you i",20,"love",12
"i should be able",20,"to",16
"i think it was",20,"a",14
"i want to be",20,"in",12
"i was a kid",20,"i",11
"i wish i could",20,"have",14
"im really looking forward",20,"to",25
"im so proud of",20,"you",14
"in front of me",20,"and",14
"in one way or",20,"another",13
"in the early th",20,"century",15
"in the eyes of",20,"the",14
"in the next few",20,"months",15
"in the united states",20,"in",20
"it has nothing to",20,"do",17
"just got off the",20,"phone",16
"life is too short",20,"to",17
"light at the end",20,"of",16
"look forward to your",20,"tweets",20
"make sure to check",20,"out",18
"mg cholesterol g protein",20,"g",24
"mi run with nike",20,"gps",16
"might not be able",20,"to",17
"need to go to",20,"the",13
"of the world trade",20,"center",18
"one of the first",20,"things",16
"real rewards just for",20,"watching",21
"reservations and credit cards",20,"accepted",29
"rewards just for watching",20,"tv",25
"still trying to figure",20,"out",22
"thank you for all",20,"the",17
"thanks for following me",20,"on",23
"the best way to",20,"get",15
"the end of this",20,"month",15
"the first time this",20,"year",19
"the last day of",20,"the",15
"the second round of",20,"the",19
"thought it would be",20,"fun",19
"through the end of",20,"the",18
"to come up with",20,"the",15
"to do the same",20,"thing",14
"to do with the",20,"fact",14
"to go to the",20,"bathroom",12
"to let you know",20,"that",15
"to see if i",20,"can",11
"to see you at",20,"the",13
"to the front of",20,"the",15
"us know if we",20,"can",13
"was born and raised",20,"in",19
"we had a lot",20,"of",12
"what do you do",20,"when",14
"what you want to",20,"do",16
"with runners in scoring",20,"position",23
"would you be interested",20,"in",23
"you had a good",20,"time",14
"you need to do",20,"is",14
"a hell of a",19,"lot",11
"a lot of the",19,"time",12
"a smile on my",19,"face",13
"an important part of",19,"the",20
"at the end of",19,"my",13
"be a good idea",19,"to",14
"been a long time",19,"since",16
"cant remember the last",19,"time",22
"do with the fact",19,"that",16
"dont forget to check",19,"out",20
"end of the day",19,"i",14
"end of the school",19,"year",17
"everyone is having a",19,"great",20
"fell in love with",19,"the",17
"for a variety of",19,"reasons",16
"for the better part",19,"of",19
"from the rest of",19,"the",16
"get a kick out",19,"of",14
"get in the way",19,"of",14
"go so far as",19,"to",12
"got off the phone",19,"with",17
"has to do with",19,"the",14
"hope you can make",19,"it",17
"hope youre having a",19,"great",19
"i am going to",19,"do",13
"i cant tell you",19,"how",15
"i dont have time",19,"to",16
"i dont know if",19,"you",14
"i dont want to",19,"get",14
"i felt like i",19,"was",13
"i had a dream",19,"that",13
"i have a hard",19,"time",13
"i hope everyone has",19,"a",19
"i just want you",19,"to",15
"i thought it might",19,"be",18
"i was going to",19,"have",14
"i wish i could",19,"go",14
"if i was going",19,"to",14
"in a long time",19,"i",14
"in case you were",19,"wondering",16
"in the second half",19,"of",18
"in the third quarter",19,"and",20
"is one of the",19,"reasons",13
"is the way to",19,"go",13
"it takes a lot",19,"of",14
"its time for me",19,"to",15
"love you so so",19,"so",14
"my favorite part of",19,"the",19
"need to be able",19,"to",15
"no matter how many",19,"times",18
"not a fan of",19,"the",12
"not the other way",19,"around",17
"now i just need",19,"to",15
"on the eve of",19,"the",13
"on the new york",19,"mercantile",15
"on the top of",19,"the",13
"one of those people",19,"who",19
"one step at a",19,"time",13
"per serving calories g",19,"fat",22
"plus or minus percentage",19,"points",24
"sure how i feel",19,"about",15
"tens of millions of",19,"dollars",19
"thank you so much",19,"i",17
"thank you to all",19,"the",16
"thanks so much for",19,"your",18
"that is one of",19,"the",14
"the best part of",19,"the",16
"the end of this",19,"year",15
"the face of the",19,"earth",15
"the new york mercantile",19,"exchange",23
"the next couple of",19,"days",18
"the university of chicago",19,"chicago",25
"there is nothing wrong",19,"with",22
"there was a time",19,"when",16
"thought i was the",19,"only",17
"thoughts and prayers are",19,"with",24
"to give it a",19,"try",12
"to go out there",19,"and",15
"trying to keep up",19,"with",17
"us know if you",19,"need",14
"was the last time",19,"you",17
"was the only one",19,"who",16
